Datetime,hour,date,month,dayofweek,curtailment_MW,curtailment_MWh,grid_price,profile_util_pct,profile_util_frac,normal_demand_MW,effective_price,daily_rank,shift_scheduled,shiftable_dispatch_MW,total_demand_MW,total_demand_MWh,from_curtailment_MW,from_curtailment_MWh,from_grid_MW,from_grid_MWh,cost_curtailed_gbp,cost_grid_gbp,total_cost_gbp,counterfactual_cost_gbp,savings_gbp,curtailment_absorbed_MWh,curtailment_remaining_MWh
2025-06-12 07:00:00,7,2025-06-12,2025-06,3,2883.536,1441.768,10.11,20.22966321594233,0.2022966321594233,309.5691300279758,10.11,2.0,1.0,100.0,409.5691300279758,204.7845650139879,409.5691300279758,204.7845650139879,0.0,0.0,4095.6913002797583,0.0,4095.6913002797583,2070.3719522914175,-2025.3193479883407,204.7845650139879,1236.983434986012
2025-06-12 07:30:00,7,2025-06-12,2025-06,3,2855.6000000000004,1427.8000000000002,10.61,20.22966321594233,0.2022966321594233,309.5691300279758,10.61,3.0,1.0,100.0,409.5691300279758,204.7845650139879,409.5691300279758,204.7845650139879,0.0,0.0,4095.6913002797583,0.0,4095.6913002797583,2172.7642347984115,-1922.9270654813467,204.7845650139879,1223.0154349860122
2025-06-12 08:00:00,8,2025-06-12,2025-06,3,2827.6,1413.8,34.03,20.4117081893032,0.20411708189303202,325.3928577435391,20.0,17.0,1.0,100.0,425.3928577435391,212.69642887176954,425.3928577435391,212.69642887176954,0.0,0.0,4253.928577435391,0.0,4253.928577435391,7238.059474506318,2984.130897070927,212.69642887176954,1201.1035711282304
2025-06-12 08:30:00,8,2025-06-12,2025-06,3,2782.072,1391.036,66.51,20.4117081893032,0.20411708189303202,325.3928577435391,20.0,18.0,1.0,100.0,425.3928577435391,212.69642887176954,425.3928577435391,212.69642887176954,0.0,0.0,4253.928577435391,0.0,4253.928577435391,14146.439484261393,9892.510906826003,212.69642887176954,1178.3395711282305
2025-06-12 09:00:00,9,2025-06-12,2025-06,3,2415.536,1207.768,85.82,20.560769865650524,0.20560769865650524,338.3496086815052,20.0,19.0,1.0,100.0,438.3496086815052,219.1748043407526,438.3496086815052,219.1748043407526,0.0,0.0,4383.496086815052,0.0,4383.496086815052,18809.581708523387,14426.085621708335,219.1748043407526,988.5931956592474
2025-06-12 09:30:00,9,2025-06-12,2025-06,3,2655.536,1327.768,100.87,20.560769865650524,0.20560769865650524,338.3496086815052,20.0,20.0,1.0,100.0,438.3496086815052,219.1748043407526,438.3496086815052,219.1748043407526,0.0,0.0,4383.496086815052,0.0,4383.496086815052,22108.162513851716,17724.666427036664,219.1748043407526,1108.5931956592474
2025-06-12 10:00:00,10,2025-06-12,2025-06,3,2600.192,1300.096,99.43,20.743686287036635,0.20743686287036633,354.2490844719263,20.0,21.0,1.0,100.0,454.2490844719263,227.12454223596316,454.2490844719263,227.12454223596316,0.0,0.0,4542.490844719263,0.0,4542.490844719263,22582.99323452182,18040.502389802554,227.12454223596316,1072.9714577640368
2025-06-12 10:30:00,10,2025-06-12,2025-06,3,2612.136,1306.068,93.75,20.743686287036635,0.20743686287036633,354.2490844719263,20.0,22.0,1.0,100.0,454.2490844719263,227.12454223596316,454.2490844719263,227.12454223596316,0.0,0.0,4542.490844719263,0.0,4542.490844719263,21292.925834621547,16750.434989902285,227.12454223596316,1078.9434577640368
2025-06-12 11:00:00,11,2025-06-12,2025-06,3,2576.2,1288.1,81.32,20.807275763457337,0.20807275763457336,359.7764140206625,20.0,23.0,1.0,100.0,459.7764140206625,229.88820701033126,459.7764140206625,229.88820701033126,0.0,0.0,4597.764140206626,0.0,4597.764140206626,18694.508994080137,14096.744853873512,229.88820701033126,1058.2117929896685
2025-06-12 11:30:00,11,2025-06-12,2025-06,3,2590.928,1295.464,78.49,20.807275763457337,0.20807275763457336,359.7764140206625,20.0,24.0,1.0,100.0,459.7764140206625,229.88820701033126,459.7764140206625,229.88820701033126,0.0,0.0,4597.764140206626,0.0,4597.764140206626,18043.9253682409,13446.161228034274,229.88820701033126,1065.5757929896686
2025-06-12 12:00:00,12,2025-06-12,2025-06,3,3151.136,1575.568,80.0,20.826079389747957,0.20826079389747956,361.410864327061,20.0,25.0,1.0,100.0,461.410864327061,230.7054321635305,461.410864327061,230.7054321635305,0.0,0.0,4614.10864327061,0.0,4614.10864327061,18456.43457308244,13842.325929811828,230.7054321635305,1344.8625678364695
2025-06-12 12:30:00,12,2025-06-12,2025-06,3,2972.928,1486.464,80.0,20.826079389747957,0.20826079389747956,361.410864327061,20.0,26.0,1.0,100.0,461.410864327061,230.7054321635305,461.410864327061,230.7054321635305,0.0,0.0,4614.10864327061,0.0,4614.10864327061,18456.43457308244,13842.325929811828,230.7054321635305,1255.7585678364694
2025-06-12 13:00:00,13,2025-06-12,2025-06,3,2972.2,1486.1,80.0,20.8674337719002,0.20867433771900198,365.00547323573574,20.0,27.0,1.0,100.0,465.00547323573574,232.50273661786787,465.00547323573574,232.50273661786787,0.0,0.0,4650.054732357357,0.0,4650.054732357357,18600.21892942943,13950.164197072072,232.50273661786787,1253.597263382132
2025-06-12 13:30:00,13,2025-06-12,2025-06,3,2984.3360000000002,1492.1680000000001,80.0,20.8674337719002,0.20867433771900198,365.00547323573574,20.0,28.0,1.0,100.0,465.00547323573574,232.50273661786787,465.00547323573574,232.50273661786787,0.0,0.0,4650.054732357357,0.0,4650.054732357357,18600.21892942943,13950.164197072072,232.50273661786787,1259.6652633821323
2025-06-12 14:00:00,14,2025-06-12,2025-06,3,3123.864,1561.932,80.0,20.959576533325396,0.20959576533325397,373.01471370436514,20.0,29.0,1.0,100.0,473.01471370436514,236.50735685218257,473.01471370436514,236.50735685218257,0.0,0.0,4730.147137043651,0.0,4730.147137043651,18920.588548174605,14190.441411130952,236.50735685218257,1325.4246431478175
2025-06-12 14:30:00,14,2025-06-12,2025-06,3,3029.464,1514.732,80.0,20.959576533325396,0.20959576533325397,373.01471370436514,20.0,30.0,1.0,100.0,473.01471370436514,236.50735685218257,473.01471370436514,236.50735685218257,0.0,0.0,4730.147137043651,0.0,4730.147137043651,18920.588548174605,14190.441411130952,236.50735685218257,1278.2246431478175
2025-06-12 15:00:00,15,2025-06-12,2025-06,3,2996.128,1498.064,80.0,20.98241637216104,0.2098241637216104,375.0,20.0,31.0,1.0,100.0,475.0,237.5,475.0,237.5,0.0,0.0,4750.0,0.0,4750.0,19000.0,14250.0,237.5,1260.564
2025-06-12 15:30:00,15,2025-06-12,2025-06,3,3004.2,1502.1,80.0,20.98241637216104,0.2098241637216104,375.0,20.0,32.0,1.0,100.0,475.0,237.5,475.0,237.5,0.0,0.0,4750.0,0.0,4750.0,19000.0,14250.0,237.5,1264.6
2025-06-12 16:00:00,16,2025-06-12,2025-06,3,3024.0,1512.0,80.0,20.904205393498877,0.20904205393498876,368.2017390655192,20.0,33.0,1.0,100.0,468.2017390655192,234.1008695327596,468.2017390655192,234.1008695327596,0.0,0.0,4682.017390655192,0.0,4682.017390655192,18728.069562620767,14046.052171965575,234.1008695327596,1277.8991304672404
2025-06-12 16:30:00,16,2025-06-12,2025-06,3,3023.936,1511.968,80.0,20.904205393498877,0.20904205393498876,368.2017390655192,20.0,34.0,1.0,100.0,468.2017390655192,234.1008695327596,468.2017390655192,234.1008695327596,0.0,0.0,4682.017390655192,0.0,4682.017390655192,18728.069562620767,14046.052171965575,234.1008695327596,1277.8671304672405
2025-06-12 17:00:00,17,2025-06-12,2025-06,3,3023.936,1511.968,80.0,20.74996971647458,0.2074996971647458,354.7952532274291,20.0,35.0,0.0,0.0,354.7952532274291,177.39762661371455,354.7952532274291,177.39762661371455,0.0,0.0,3547.952532274291,0.0,3547.952532274291,14191.810129097164,10643.857596822872,177.39762661371455,1334.5703733862856
