Date,Settlement_Period,total_curtailment_MWh,num_farms_curtailed,Datetime,curtailment_MW,Hour,HourInt,Month,MonthInt,dc_util_pct,dc_headroom_pct,absorbed_Small DC cluster (200 MW)_MWh,flex_avail_Small DC cluster (200 MW)_MW,absorbed_Medium portfolio (500 MW)_MWh,flex_avail_Medium portfolio (500 MW)_MW,absorbed_Large portfolio (1 GW)_MWh,flex_avail_Large portfolio (1 GW)_MW,absorbed_Full UK flex (2 GW)_MWh,flex_avail_Full UK flex (2 GW)_MW
2024-11-02,30,1499.586,17,2024-11-02 14:30:00,2999.172,14.5,14,2024-11,11,20.92514068376101,79.07485931623899,39.53742965811949,79.07485931623899,98.84357414529873,197.68714829059746,197.68714829059746,395.3742965811949,395.3742965811949,790.7485931623899
2024-11-02,31,1528.648,17,2024-11-02 15:00:00,3057.2960000000003,15.0,15,2024-11,11,20.97721503974748,79.02278496025252,39.51139248012626,79.02278496025252,98.77848120031565,197.5569624006313,197.5569624006313,395.1139248012626,395.1139248012626,790.2278496025252
2024-11-02,32,1558.066,17,2024-11-02 15:30:00,3116.132,15.5,15,2024-11,11,20.97721503974748,79.02278496025252,39.51139248012626,79.02278496025252,98.77848120031565,197.5569624006313,197.5569624006313,395.1139248012626,395.1139248012626,790.2278496025252
2024-11-02,33,1472.836,17,2024-11-02 16:00:00,2945.672,16.0,16,2024-11,11,20.999158476578664,79.00084152342134,39.50042076171067,79.00084152342134,98.75105190427668,197.50210380855336,197.50210380855336,395.0042076171067,395.0042076171067,790.0084152342134
2024-11-02,34,1438.502,16,2024-11-02 16:30:00,2877.004,16.5,16,2024-11,11,20.999158476578664,79.00084152342134,39.50042076171067,79.00084152342134,98.75105190427668,197.50210380855336,197.50210380855336,395.0042076171067,395.0042076171067,790.0084152342134
2024-11-02,35,1391.45,16,2024-11-02 17:00:00,2782.9,17.0,17,2024-11,11,21.54323302913472,78.45676697086529,39.228383485432644,78.45676697086529,98.0709587135816,196.1419174271632,196.1419174271632,392.2838348543264,392.2838348543264,784.5676697086528
2024-11-02,36,1259.286,16,2024-11-02 17:30:00,2518.572,17.5,17,2024-11,11,21.54323302913472,78.45676697086529,39.228383485432644,78.45676697086529,98.0709587135816,196.1419174271632,196.1419174271632,392.2838348543264,392.2838348543264,784.5676697086528
2024-11-02,37,1136.732,13,2024-11-02 18:00:00,2273.464,18.0,18,2024-11,11,20.60889007578982,79.39110992421018,39.69555496210509,79.39110992421018,99.23888740526273,198.47777481052546,198.47777481052546,396.9555496210509,396.9555496210509,793.9110992421018
2024-11-02,38,917.332,11,2024-11-02 18:30:00,1834.664,18.5,18,2024-11,11,20.60889007578982,79.39110992421018,39.69555496210509,79.39110992421018,99.23888740526273,198.47777481052546,198.47777481052546,396.9555496210509,396.9555496210509,793.9110992421018
2024-11-02,39,784.05,9,2024-11-02 19:00:00,1568.1,19.0,19,2024-11,11,20.58194518532128,79.41805481467873,39.70902740733936,79.41805481467873,99.27256851834841,198.54513703669681,198.54513703669681,397.09027407339363,397.09027407339363,794.1805481467873
